croptype,predictions,tauPercents,year,state
Soy,-0.019388193080524974,-1.9201450877079362,2019,IL
Soy,-0.015200147731989003,-1.5085208587364507,2019,IL
Soy,-0.015791634579017232,-1.5667600476378052,2019,IL
Soy,-0.002353947836411035,-0.23511794738224623,2019,IN
Soy,0.0014873689380988338,0.1488475619891183,2019,IN
Soy,3.5727649628674554e-4,0.03573403271357467,2019,IN
Soy,-9.60200343324882e-4,-0.09597394984881547,2019,OH
Soy,-0.003207947597080361,-0.320280763090397,2019,OH
Soy,-0.008560480836341535,-0.852394425150993,2019,OH
Soy,-0.004498135073703673,-0.4488033615716147,2019,OH
Soy,-0.005474274142935695,-0.5459317608741632,2019,OH
Soy,-0.010675372257510543,-1.0618592698352303,2019,OH
Soy,-0.012286992744929223,-1.2211815863840902,2019,OH
Soy,-0.03067038294153462,-3.0204818566032965,2019,IL
Soy,-0.003308686843307072,-0.3303219170927796,2019,IN
Soy,-0.015195855731105382,-1.5080981323137732,2019,IN
Soy,-0.01064603910676418,-1.0589570598733555,2019,IN
Soy,-0.010209760619840141,-1.0157817938297065,2019,IN
Soy,-0.019025152604609553,-1.8845316663372857,2019,IN
Soy,-0.005715234810714032,-0.5698933925490146,2019,IN
Soy,-0.005610897850801582,-0.5595186162749233,2019,IN
Soy,-0.019379087574627005,-1.919252016944628,2019,IN
Soy,-5.971475678658643e-4,-0.05969693107407137,2019,IN
Soy,-0.022361942845205332,-2.2113767934470174,2019,MI
Soy,-0.021485323324990084,-2.1256157930976904,2019,OH
Soy,-0.00454568483569264,-0.45353688473764864,2019,OH
Soy,-0.037754259801792985,-3.7050452769235687,2019,IL
Soy,-0.0362266716529686,-3.5578338346965666,2019,IL
Soy,-0.04406523667390214,-4.310846898394704,2019,IL
Soy,-0.023343742029736898,-2.3073384687120613,2019,IN
Soy,-0.04271721574422662,-4.181768936920283,2019,MI
Soy,-0.03999633221430503,-3.920703687145344,2019,MI
Soy,-0.034180751153507216,-3.360318848843613,2019,MI
Soy,-0.02551464139729256,-2.519189369151298,2019,MI
Soy,-0.017466461334550324,-1.7314806937671068,2019,MI
Soy,-0.0228347161609375,-2.2575977182104134,2019,MI
Soy,-0.02901503017396456,-2.859813598212424,2019,MI
Soy,-0.04036785967127964,-3.9563931535534946,2019,MI
Soy,-0.009281777081589426,-0.9238834353006986,2019,OH
Soy,-0.014218381481097579,-1.4117777667344122,2019,IL
Soy,0.0045360280380206145,0.4546331386069413,2019,IN
Soy,-0.02600175851157751,-2.566662376927964,2019,IN
Soy,-0.01178435670406623,-1.1715193121966783,2019,IN
Soy,-0.001235233936970966,-0.12344713495550108,2019,IN
Soy,-0.02603016538609375,-2.569430114211946,2019,IN
Soy,-0.017384384224636444,-1.723414766697462,2019,IN
Soy,-0.003289639729474381,-0.328423479308837,2019,IN
Soy,-0.006565492465141444,-0.6543986710515814,2019,IN
Soy,-0.02610107600635151,-2.5763387314045594,2019,IN
Soy,-0.017010914311690616,-1.686704564314423,2019,IN
Soy,-0.013079537371653608,-1.2994371935253102,2019,IN
Soy,0.0016235700825633277,0.16248887860423888,2019,IN
Soy,-0.013199870342930057,-1.311313410949877,2019,IN
Soy,-0.00898670614118453,-0.8946446388668483,2019,IN
Soy,0.006677357038066756,0.6699700290179189,2019,OH
Soy,0.005286144179322503,0.5300140490770433,2019,OH
Soy,0.004062660033370822,0.4070923823844774,2019,OH
Soy,0.0021486326832663057,0.21509426485961658,2019,OH
Soy,0.007355611586173312,0.7382730548483485,2019,OH
Soy,0.001401815292401807,0.1402798294734442,2019,OH
Soy,0.008462554987595534,0.8498463627527819,2019,OH
Soy,-0.034533431065355405,-3.3943957136070013,2019,IL
Soy,-0.034212570097546385,-3.363393772529455,2019,IL
Soy,-0.03295716549056678,-3.241999548378005,2019,IL
Soy,-0.032377628625115035,-3.185908468234422,2019,IL
Soy,-0.030084818371324092,-2.9636774570436453,2019,MI
Soy,-0.028481679469934414,-2.807989992555615,2019,IL
Soy,-0.008743004723233463,-0.8704895800472956,2019,IL
Soy,-0.029044369796234686,-2.862663612779326,2019,IL
Soy,-0.01609077944628561,-1.5962014422975512,2019,IL
Soy,-0.005281923702085574,-0.5267998870508328,2019,IL
Soy,-0.03930755149626721,-3.8545033242929017,2019,MI
Soy,-0.02189610379944108,-2.1658124225183206,2019,MI
Soy,-0.01995212543024664,-1.9754398980174281,2019,MI
Soy,-0.02726315224425197,-2.6894866971597597,2019,MO
Soy,-0.03134178520420146,-3.0855722711461864,2019,MO
Soy,-0.031259548170368495,-3.0776019883524297,2019,MO
Soy,-0.03693218290533167,-3.6258508719146265,2019,MO
Soy,-0.010246034868896062,-1.0193723068915528,2019,IL
Soy,-0.021652998603193807,-2.1420255319063997,2019,IL
Soy,-0.031219741761298374,-3.0737437789388977,2019,IL
Soy,-0.02446925561526523,-2.41723103208461,2019,IL
Soy,-0.026440790470856002,-2.6094293373255084,2019,IL
Soy,-0.030247738216375754,-2.979485311935126,2019,MO
Soy,-0.049392807110182506,-4.819282036949124,2019,IL
Soy,-0.06687034865301705,-6.468354148526978,2019,IL
Soy,-0.06664326419865822,-6.44711215399143,2019,IL
Soy,-0.062100103398555456,-6.021119397114239,2019,IL
Soy,-0.050480353617773054,-4.922739226909922,2019,IL
Soy,-0.05484930286846308,-5.337220870197578,2019,IL
Soy,-0.020019284178707953,-1.9820228837373333,2019,MO
Soy,-0.02042311154443998,-2.0215972340899446,2019,MO
Soy,-0.03746613230947124,-3.677296055631174,2019,IL
Soy,-0.029085921706996566,-2.8666997708569064,2019,IL
Soy,-0.02712866625576328,-2.676398916546052,2019,IL
Soy,-0.030816981182633277,-3.034697841341083,2019,MO
Soy,-0.02607967355367618,-2.5742536037914543,2019,MO
Soy,-0.03140799053091394,-3.091988310106808,2019,MO
Soy,-0.001988067214180061,-0.19860923175152312,2019,MO
Soy,0.0049175076246722,0.4929618408778147,2019,MO
Soy,-0.005080431343597739,-0.506754777953411,2019,MO
Soy,-0.04540062827369958,-4.438544107771403,2019,MO
Soy,-0.010589017918965713,-1.0533151632305948,2019,MO
Soy,-0.02180923712026251,-2.1573135224030593,2019,MO
Soy,-0.005035019562749255,-0.502236509914955,2019,MO
Soy,-0.049097152196112055,-4.7911372295883154,2019,IL
Soy,-0.03132155831556856,-3.0836119739843015,2019,IL
Soy,-0.048540437641994456,-4.73811831317118,2019,IL
Soy,-0.034580910215081265,-3.398982356671454,2019,IL
Soy,-0.046546009501444684,-4.547935745922715,2019,IL
Soy,-0.05249120600060747,-5.113733468318604,2019,IL
Soy,-0.010285316466470225,-1.0232603477114965,2019,IL
Soy,-0.03286975054911239,-3.2335410837405765,2019,IL
Soy,-0.024451857942744196,-2.4155333042581995,2019,IL
Soy,-0.03626345811293623,-3.5613815353273237,2019,IL
Soy,-0.03766677332337633,-3.6966204019196036,2019,IL
Soy,-0.026439782957522254,-2.6093312149775616,2019,IL
Soy,-0.023245356694977005,-2.297726470671646,2019,MO
Soy,-0.020731743000371998,-2.0518317852787016,2019,MO
Soy,-0.05156719508304693,-5.026017002871919,2019,MO
Soy,-0.004103698199797403,-0.4095289536477753,2019,MO
Soy,-0.017463001836045256,-1.7311407333834183,2019,MO
Soy,-0.013388553036567045,-1.3299325015616703,2019,MO
Soy,-0.02459677386956289,-2.429673823074585,2019,MO
Soy,-0.011832164796092247,-1.1762440003561303,2019,MO
Soy,-0.012155036004655652,-1.2081461954632222,2019,MO
Soy,-0.010248889722441387,-1.0196548816840845,2019,MO
Soy,-0.03396413664701805,-3.3393830245840306,2019,MO
Soy,-0.0273820498729109,-2.701055998640156,2019,MO
Soy,-0.08349190215966139,-8.010146416745378,2019,MO
Soy,-0.00650344240104126,-0.648234078866361,2019,MO
Soy,-0.02136098677298396,-2.1134456730559803,2019,MO
Soy,-0.011855094863227238,-1.178510009735756,2019,MO
Soy,-0.027214901072939286,-2.684791237632056,2019,MO
Soy,-0.022187423552431446,-2.1943093028238048,2019,MO
Soy,-0.01869950304043457,-1.8525752038139665,2019,MO
Soy,-0.011709338958424796,-1.1641051442767059,2019,MO
Soy,-0.002292709841791667,-0.22900835900434569,2019,MO
Soy,-0.0332790507220431,-3.273139507735179,2019,MO
Soy,-0.05620059695618838,-5.465051735965199,2019,MO
Soy,-6.954241104698123e-4,-0.06951823591662132,2019,MO
Soy,-0.03878164668458558,-3.80392664687631,2019,MO
Soy,-0.04166413412421226,-4.08081136997639,2019,MO
Soy,-0.00991769994005375,-0.986868173712041,2019,MO
Soy,-0.015816931131669033,-1.569250037780734,2019,MO
Soy,-0.0221685217110925,-2.192460577704103,2019,MO
Soy,-0.030416044540299173,-2.9958131040335623,2019,MO
Soy,-0.03129037490628519,-3.0805897434687424,2019,MO
Soy,-0.02962584679403748,-2.9191303208793484,2019,MO
Soy,-0.04150228872494042,-4.0652860342765385,2019,MO
Soy,-0.03382087795760839,-3.3255345593457997,2019,MO
Soy,-0.0010171076111577953,-0.10165905325345559,2019,MO
Soy,-0.011221908450673808,-1.1159177708192636,2019,MO
Soy,0.005607602404065599,0.5623354436373962,2019,MO
Soy,-0.0013139538281552998,-0.13130909687845138,2019,MO
Soy,-0.0067922069838313864,-0.6769192082779929,2019,MO
Soy,-0.014253366417986845,-1.415226809134651,2019,MO
Soy,-0.02334323714053156,-2.307289144729363,2019,MO
Soy,-0.0050211292794719985,-0.5008544481960309,2019,MO
Soy,-0.030882558155022333,-3.041056323796143,2019,MO
Soy,-0.043744154302613046,-4.280117865198763,2019,MO
Soy,-0.02145757240042563,-2.122899650757226,2019,MO
Soy,-0.012188418699556525,-1.2114440787310499,2019,MO
Soy,-0.02825924467465294,-2.786368703132225,2019,MO
Soy,-0.015917527770012707,-1.5791513423092485,2019,IL
Soy,-0.028443524631024383,-2.804281576323886,2019,IL
Soy,-0.0251683281456488,-2.4854246263973923,2019,IL
Soy,-0.025102380149455625,-2.478993523495021,2019,IL
Soy,-0.04547803202730651,-4.445940636894353,2019,IL
Soy,-0.033962521086075635,-3.3392268633404276,2019,IL
Soy,-0.041668823635207276,-4.081261183011398,2019,IL
Soy,-0.048754192806200615,-4.758478856170612,2019,IL
Soy,-0.05045964992468219,-4.9207707561057195,2019,IL
Soy,-0.04064673976184841,-3.9831740688237693,2019,IL
Soy,-0.04144172758978598,-4.059475943166979,2019,IL
Soy,-0.04437016258599034,-4.3400205525535585,2019,IL
Soy,-0.030601289559880708,-3.0137809822532335,2019,IL
Soy,-0.01743987123956528,-1.728867689764857,2019,MO
Soy,-0.00978098241511464,-0.9733304179891378,2019,MO
Soy,-0.04544391802300815,-4.442680849700631,2019,IL
Soy,-0.0428673724232758,-4.196155604134955,2019,IL
Soy,-0.058379520120068515,-5.670811875359572,2019,IL
Soy,-0.05466076104174521,-5.319371294255304,2019,IL
Soy,-0.06136153985435753,-5.951684384048006,2019,IL
Soy,-0.052185143395807994,-5.084687885767636,2019,IL
Soy,-0.04005901648014049,-3.92672615853763,2019,IL
Soy,-0.059494044151849175,-5.775885458029794,2019,IL
Soy,-0.04964074836085041,-4.842878337831291,2019,IL
Soy,-0.049099169610821704,-4.791329305154801,2019,IL
Soy,-0.05582282619546539,-5.429332450218505,2019,IL
Soy,-0.028866150143941626,-2.8453502877221593,2019,IL
Soy,-0.017102983016711176,-1.6957557254407507,2019,MI
Soy,-0.03973544678658338,-3.8956347289108018,2019,MI
Soy,-0.04830017181859533,-4.715227388885879,2019,MI
Soy,-0.03869300111524345,-3.7953989132181287,2019,MI
Soy,-0.015938059481926486,-1.5811720700756315,2019,MI
Soy,-0.04062549907522381,-3.9811345838535184,2019,IL
Soy,-0.02535742761758803,-2.503862837723958,2019,IL
Soy,-0.025514413252759487,-2.5191671294347295,2019,IL
Soy,-0.024844624690060983,-2.453853711847387,2019,MO
Soy,-0.03471537410761974,-3.4119708322668862,2019,MO
Soy,-0.027999316239471522,-2.7610968317742235,2019,MO
Soy,-0.04152733102068804,-4.067688429675254,2019,MO
Soy,-0.026553210637896615,-2.620377386145323,2019,IL
Soy,-0.029096793003417484,-2.867755730016208,2019,IL
